resolution	problem	id	path	target	locale	resource_type	target_handle	resource_id	base_handle	resource_state	translation_outdated
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258273618	/et/blogs/meisterdamine-dekooridega/anime-stickers	/et/blogs/meisterdamine-dekooridega/anime-inspired-stickers	et	Article	anime-inspired-stickers	gid://shopify/Article/606926438738	anime-inspired-stickers	PUBLISHED	
VALID_TRANSLATED_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258109778	/et/blogs/meisterdamine-dekooridega/avastage-kuidas-seinakaunistusega-kleebised-voivad-teie-kodu-valimust-ja-tunnet-taielikult-muuta	/et/blogs/meisterdamine-dekooridega/avastage-kuidas-3d-seinakleebised-voivad-teie-kodu-sisekujundust-taielikult-muuta	et	Article	avastage-kuidas-3d-seinakleebised-voivad-teie-kodu-sisekujundust-taielikult-muuta	gid://shopify/Article/606231986514	discover-how-3d-wall-stickers-can-completely-transform-your-home-decor	PUBLISHED	False
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258240850	/et/blogs/meisterdamine-dekooridega/car-decals-the-ultimate-guide-to-vehicle-customization	/et/blogs/meisterdamine-dekooridega/car-decals-guide	et	Article	car-decals-guide	gid://shopify/Article/606896193874	car-decals-guide	PUBLISHED	
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258175314	/et/blogs/meisterdamine-dekooridega/custom-car-stickers	/et/blogs/meisterdamine-dekooridega/car-decals	et	Article	car-decals	gid://shopify/Article/609598046546	car-decals	PUBLISHED	
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258306386	/et/blogs/meisterdamine-dekooridega/custom-jeep-stickers	/et/blogs/meisterdamine-dekooridega/custom-4x4-stickers	et	Article	custom-4x4-stickers	gid://shopify/Article/606998462802	custom-4x4-stickers	PUBLISHED	
VALID_TRANSLATED_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258339154	/et/blogs/meisterdamine-dekooridega/how-to-remove-stickers-from-wall	/et/blogs/meisterdamine-dekooridega/oppige-meie-samm-sammulise-juhendi-abil-holpsasti-seinavinuulkleebiseid-eemaldama-jatke-huvasti-torksatele-liimijaakidele-ja-tere-varske-puhta-pinnaga	et	Article	oppige-meie-samm-sammulise-juhendi-abil-holpsasti-seinavinuulkleebiseid-eemaldama-jatke-huvasti-torksatele-liimijaakidele-ja-tere-varske-puhta-pinnaga	gid://shopify/Article/606245257554	learn-how-to-effortlessly-remove-wall-vinyl-stickers-with-our-step-by-step-guide-say-goodbye-to-stubborn-adhesive-residue-and-hello-to-a-fresh-clean-surface	PUBLISHED	False
VALID_TRANSLATED_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258142546	/et/blogs/meisterdamine-dekooridega/kuidas-seinakleebist-seinale-kleepida-voi-kleepida	/et/blogs/meisterdamine-dekooridega/selle-pohjaliku-samm-sammulise-juhendi-abil-saate-teada-kuidas-holpsasti-seinakleebiste-kujundusi-peale-kanda	et	Article	selle-pohjaliku-samm-sammulise-juhendi-abil-saate-teada-kuidas-holpsasti-seinakleebiste-kujundusi-peale-kanda	gid://shopify/Article/606240145746	learn-how-to-easily-apply-wall-sticker-designs-with-this-comprehensive-step-by-step-guide	PUBLISHED	False
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258371922	/et/blogs/meisterdamine-dekooridega/nursery-wall-decals	/et/blogs/meisterdamine-dekooridega/a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	et	Article	a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	gid://shopify/Article/613704565074	a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	PUBLISHED	
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258044242	/et/blogs/meisterdamine-dekooridega/nursery-wall-stickers	/et/blogs/meisterdamine-dekooridega/a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	et	Article	a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	gid://shopify/Article/613704565074	a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	PUBLISHED	
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258208082	/et/blogs/meisterdamine-dekooridega/removable-decals	/et/blogs/meisterdamine-dekooridega/repositionable-decals	et	Article	repositionable-decals	gid://shopify/Article/609425293650	repositionable-decals	PUBLISHED	
VALID_PUBLISHED_ARTICLE	missing_article	gid://shopify/UrlRedirect/1768258077010	/et/blogs/meisterdamine-dekooridega/what-kind-of-wall-stickers-suits-best-for-the-living-room	/et/blogs/meisterdamine-dekooridega/living-room-wall-stickers	et	Article	living-room-wall-stickers	gid://shopify/Article/609307754834	living-room-wall-stickers	PUBLISHED	
