problem	id	path	target	final
missing_article	gid://shopify/UrlRedirect/1768258273618	/et/blogs/meisterdamine-dekooridega/anime-stickers	/et/blogs/meisterdamine-dekooridega/anime-inspired-stickers	
missing_article	gid://shopify/UrlRedirect/1768258109778	/et/blogs/meisterdamine-dekooridega/avastage-kuidas-seinakaunistusega-kleebised-voivad-teie-kodu-valimust-ja-tunnet-taielikult-muuta	/et/blogs/meisterdamine-dekooridega/avastage-kuidas-3d-seinakleebised-voivad-teie-kodu-sisekujundust-taielikult-muuta	
missing_article	gid://shopify/UrlRedirect/1768258240850	/et/blogs/meisterdamine-dekooridega/car-decals-the-ultimate-guide-to-vehicle-customization	/et/blogs/meisterdamine-dekooridega/car-decals-guide	
missing_article	gid://shopify/UrlRedirect/1768258175314	/et/blogs/meisterdamine-dekooridega/custom-car-stickers	/et/blogs/meisterdamine-dekooridega/car-decals	
missing_article	gid://shopify/UrlRedirect/1768258306386	/et/blogs/meisterdamine-dekooridega/custom-jeep-stickers	/et/blogs/meisterdamine-dekooridega/custom-4x4-stickers	
missing_article	gid://shopify/UrlRedirect/1768258339154	/et/blogs/meisterdamine-dekooridega/how-to-remove-stickers-from-wall	/et/blogs/meisterdamine-dekooridega/oppige-meie-samm-sammulise-juhendi-abil-holpsasti-seinavinuulkleebiseid-eemaldama-jatke-huvasti-torksatele-liimijaakidele-ja-tere-varske-puhta-pinnaga	
missing_article	gid://shopify/UrlRedirect/1768258142546	/et/blogs/meisterdamine-dekooridega/kuidas-seinakleebist-seinale-kleepida-voi-kleepida	/et/blogs/meisterdamine-dekooridega/selle-pohjaliku-samm-sammulise-juhendi-abil-saate-teada-kuidas-holpsasti-seinakleebiste-kujundusi-peale-kanda	
missing_article	gid://shopify/UrlRedirect/1768258371922	/et/blogs/meisterdamine-dekooridega/nursery-wall-decals	/et/blogs/meisterdamine-dekooridega/a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	
missing_article	gid://shopify/UrlRedirect/1768258044242	/et/blogs/meisterdamine-dekooridega/nursery-wall-stickers	/et/blogs/meisterdamine-dekooridega/a-buyers-guide-to-nursery-wall-decals-transform-your-babys-room-in-2026	
missing_article	gid://shopify/UrlRedirect/1768258208082	/et/blogs/meisterdamine-dekooridega/removable-decals	/et/blogs/meisterdamine-dekooridega/repositionable-decals	
missing_article	gid://shopify/UrlRedirect/1768258077010	/et/blogs/meisterdamine-dekooridega/what-kind-of-wall-stickers-suits-best-for-the-living-room	/et/blogs/meisterdamine-dekooridega/living-room-wall-stickers	
missing_collection	gid://shopify/UrlRedirect/1768258470226	/et/collections/other-1	/et/collections/muud	
missing_product	gid://shopify/UrlRedirect/1768244511058	/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768291926354	/de/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768238580050	/et/collections/car-business-decals/products/laughing-pumpkin-decal-halloween-scary-30472	/et/products/naerva-korvitsa-kleebis-halloween-hirmus-kuri-nagu-vinuulist-seinakleebis-oudne-ja-jube-suur-oranz-korvits-kodukaunistuseks-1538730472-_	
missing_product	gid://shopify/UrlRedirect/1768244871506	/et/collections/car-door-decals/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	
missing_product	gid://shopify/UrlRedirect/1768247853394	/et/collections/custom-bulk-stickers/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	
missing_product	gid://shopify/UrlRedirect/1768244969810	/et/collections/custom-bulk-stickers/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	
missing_product	gid://shopify/UrlRedirect/1768249426258	/et/collections/custom-bulk-stickers/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	
missing_product	gid://shopify/UrlRedirect/1768245428562	/et/collections/koik/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768248082770	/et/collections/koik/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	
missing_product	gid://shopify/UrlRedirect/1768249459026	/et/collections/koik/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	
missing_product	gid://shopify/UrlRedirect/1768248115538	/et/collections/parimad-muujad/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	
missing_product	gid://shopify/UrlRedirect/1768245789010	/et/collections/parimad-muujad/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	
missing_product	gid://shopify/UrlRedirect/1768249491794	/et/collections/parimad-muujad/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	
missing_product	gid://shopify/UrlRedirect/1768245854546	/et/collections/seinakleebised/products/lion-head-wall-vinyl-sticker-roar-32474	/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	
missing_product	gid://shopify/UrlRedirect/1768248148306	/et/collections/wall-decals-canada/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	
missing_product	gid://shopify/UrlRedirect/1768245920082	/et/collections/wall-decals-canada/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	
missing_product	gid://shopify/UrlRedirect/1768246018386	/et/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768248246610	/et/collections/wall-decals-canada/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	
missing_product	gid://shopify/UrlRedirect/1768249524562	/et/collections/wall-decals-canada/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	
missing_product	gid://shopify/UrlRedirect/1768248279378	/et/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	
missing_product	gid://shopify/UrlRedirect/1768246116690	/et/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	
missing_product	gid://shopify/UrlRedirect/1768246280530	/et/products/lion-head-wall-vinyl-sticker-roar-32474	/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	
missing_product	gid://shopify/UrlRedirect/1768246346066	/et/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768246378834	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384726866	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768246411602	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384956242	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768246444370	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384989010	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768246477138	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145385021778	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1768248377682	/et/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	
missing_product	gid://shopify/UrlRedirect/1768249557330	/et/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	
missing_product	gid://shopify/UrlRedirect/1744517824850	/products/nespresso-coffee-capsule-holder-3d-23552	/products/3d-printed-coffee-capsule-holder-pod-organizer	
missing_product	gid://shopify/UrlRedirect/1498710638930	/ru/collections/custom-personalized/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_	/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_	
non_active_product	gid://shopify/UrlRedirect/1748693811538	/products/frosted-fanlight-door-number-decal-67794	/products/frosted-fanlight-door-number-decal-etched-glass-house-number-sticker	
unknown_internal_route	gid://shopify/UrlRedirect/1746243846482	/sitemap_index.xml	/sitemap.xml	
