domain	page_type	requested_url	status	final_url	redirect_hops	requested_host_ok	html_lang	language_ok	canonical_count	canonical	canonical_host_ok	hreflang_count	self_hreflang	x_default	schema_currencies	expected_currency	currency_ok	noindex	schema_parse_errors	schema_wrong_market_url_count	error
International / US	home	https://www.decords.com/	200	https://www.decords.com/	0	True	en	True	1	https://www.decords.com/	True	11	True	True	[]	USD	True	False	0	0	
International / US	product	https://www.decords.com/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	200	https://www.decords.com/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	0	True	en	True	1	https://www.decords.com/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	True	11	True	True	['USD']	USD	True	False	0	0	
International / US	collection	https://www.decords.com/collections/stickers-and-decals	200	https://www.decords.com/collections/stickers-and-decals	0	True	en	True	1	https://www.decords.com/collections/stickers-and-decals	True	11	True	True	[]	USD	True	False	0	0	
International / US	page	https://www.decords.com/pages/refund-policy	200	https://www.decords.com/pages/refund-policy	0	True	en	True	1	https://www.decords.com/pages/refund-policy	True	11	True	True	[]	USD	True	False	0	0	
International / US	article	https://www.decords.com/blogs/craft-with-decords/how-to-use-wall-stickers-with-transfer-film-the-beginners-guide	200	https://www.decords.com/blogs/craft-with-decords/how-to-use-wall-stickers-with-transfer-film-the-beginners-guide	0	True	en	True	1	https://www.decords.com/blogs/craft-with-decords/how-to-use-wall-stickers-with-transfer-film-the-beginners-guide	True	11	True	True	[]	USD	True	False	0	0	
International / US	blog	https://www.decords.com/blogs/craft-with-decords	200	https://www.decords.com/blogs/craft-with-decords	0	True	en	True	1	https://www.decords.com/blogs/craft-with-decords	True	11	True	True	[]	USD	True	False	0	0	
Germany	home	https://www.decords.de/	200	https://www.decords.de/	0	True	de	True	1	https://www.decords.de/	True	11	True	True	[]	EUR	True	False	0	14	
Germany	product	https://www.decords.de/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	200	https://www.decords.de/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	0	True	de	True	1	https://www.decords.de/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	True	11	True	True	['EUR']	EUR	True	False	0	15	
Germany	collection	https://www.decords.de/collections/stickers-and-decals	200	https://www.decords.de/collections/stickers-and-decals	0	True	de	True	1	https://www.decords.de/collections/stickers-and-decals	True	11	True	True	[]	EUR	True	False	0	32	
Germany	page	https://www.decords.de/pages/refund-policy	200	https://www.decords.de/pages/refund-policy	0	True	de	True	1	https://www.decords.de/pages/refund-policy	True	11	True	True	[]	EUR	True	False	0	12	
