domain	page_type	requested_url	status	final_url	redirect_hops	html_lang	expected_language	language_ok	canonical_count	canonical	canonical_host_ok	hreflang_count	self_hreflang	x_default	schema_currencies	expected_currency	currency_ok	noindex	schema_parse_errors	schema_wrong_market_url_count	error
International / US	home	https://www.decords.com/	200	https://www.decords.com/	0	en	en	True	1	https://www.decords.com/	True	11	True	True	[]	USD	True	False	0	0	
International / US	product	https://www.decords.com/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	200	https://www.decords.com/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	0	en	en	True	1	https://www.decords.com/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	True	11	True	True	['USD']	USD	True	False	0	0	
International / US	collection	https://www.decords.com/collections/stickers-and-decals	200	https://www.decords.com/collections/stickers-and-decals	0	en	en	True	1	https://www.decords.com/collections/stickers-and-decals	True	11	True	True	[]	USD	True	False	0	0	
International / US	page	https://www.decords.com/pages/refund-policy	200	https://www.decords.com/pages/refund-policy	0	en	en	True	1	https://www.decords.com/pages/refund-policy	True	11	True	True	[]	USD	True	False	0	0	
International / US	article	https://www.decords.com/blogs/craft-with-decords/how-to-use-wall-stickers-with-transfer-film-the-beginners-guide	200	https://www.decords.com/blogs/craft-with-decords/how-to-use-wall-stickers-with-transfer-film-the-beginners-guide	0	en	en	True	1	https://www.decords.com/blogs/craft-with-decords/how-to-use-wall-stickers-with-transfer-film-the-beginners-guide	True	11	True	True	[]	USD	True	False	0	0	
International / US	blog	https://www.decords.com/blogs/craft-with-decords	200	https://www.decords.com/blogs/craft-with-decords	0	en	en	True	1	https://www.decords.com/blogs/craft-with-decords	True	11	True	True	[]	USD	True	False	0	0	
Germany	home	https://www.decords.com/de?shpxid=ffb971ff-c655-4a07-b633-2abf0a31fce6	200	https://www.decords.com/de?shpxid=ffb971ff-c655-4a07-b633-2abf0a31fce6	1	de	de	True	1	https://www.decords.com/de	True	11	True	True	[]	EUR	True	False	0	0	
Germany	product	https://www.decords.de/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	200	https://www.decords.com/de/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost?shpxid=d5181ffc-424c-4e54-be57-cca478ecac8d	1	de	de	True	1	https://www.decords.com/de/products/glow-in-dark-baby-on-board-funny-car-vinyl-sticker-night-glowing-child-kid-inside-safety-window-decal-realistic-luminescent-light-ghost	True	11	True	True	['USD']	EUR	False	False	0	0	
Germany	collection	https://www.decords.de/collections/stickers-and-decals	200	https://www.decords.com/de/collections/stickers-and-decals?shpxid=d6a0326f-e3b9-4112-8166-665b8335f86e	1	de	de	True	1	https://www.decords.com/de/collections/stickers-and-decals	True	11	True	True	[]	EUR	True	False	0	0	
Germany	page	https://www.decords.de/pages/refund-policy	200	https://www.decords.com/de/pages/refund-policy?shpxid=4a2b8ad0-fec1-4551-b1a3-47ad5d128ff1	1	de	de	True	1	https://www.decords.com/de/pages/refund-policy	True	11	True	True	[]	EUR	True	False	0	0	
